year	datetime	stage	regular_season	playoffs	opponent	seed	opponent_seed	home_away	home	away	status	played	postponed	future	new_date	outcome	win	loss	tie	forfeit	runs_scored	runs_allowed	note
2006	2006-08-08 17:30:00	regular season	True	False	Cretins			home	True	False	played	True	False	False		loss	False	True	False	False	2	5	
2006	2006-08-16 17:30:00	regular season	True	False	Diamondbacks			away	False	True	played	True	False	False		win	True	False	False	False	12	7	
2006	2006-08-23 17:30:00	playoffs	False	True	Capitalist Pigs	4	5	home	True	False	played	True	False	False		win	True	False	False	False	19	7	
2006	2006-08-29 17:30:00	playoffs	False	True	Diamondbacks	4	1	away	False	True	played	True	False	False		loss	False	True	False	False	3	12	
2006	2006-09-07 17:30:00	playoffs	False	True	Cretins	4	2	away	False	True	played	True	False	False		win	True	False	False	False	9	5	
2006	2006-09-18 17:30:00	playoffs	False	True	Capitalist Pigs	4	5	home	True	False	played	True	False	False		win	True	False	False	True	7	0	
2006	2006-09-20 17:30:00	playoffs	False	True	Loose Cannons	4	3	away	False	True	played	True	False	False		loss	False	True	False	False	8	12	
2007	2007-05-16 17:30:00	regular season	True	False	Chuck Norris All-Stars			home	True	False	played	True	False	False		loss	False	True	False	False	7	15	
2007	2007-05-22 17:30:00	regular season	True	False	Loose Cannons			away	False	True	played	True	False	False		loss	False	True	False	False	11	15	
2007	2007-05-31 17:30:00	regular season	True	False	Inferno			away	False	True	played	True	False	False		loss	False	True	False	False	11	13	
2007	2007-06-06 17:30:00	regular season	True	False	Diamondbacks			home	True	False	played	True	False	False		loss	False	True	False	False	1	19	
2007	2007-06-14 17:30:00	regular season	True	False	Toxic Waste			away	False	True	played	True	False	False		loss	False	True	False	False	12	19	
2007	2007-06-27 17:30:00	regular season	True	False	Cretins			home	True	False	played	True	False	False		loss	False	True	False	False	10	20	
2007	2007-07-10 17:30:00	regular season	True	False	Chuck Norris All-Stars			away	False	True	postponed	False	True	False	2007-07-16								lightning
2007	2007-07-16 17:30:00	regular season	True	False	Chuck Norris All-Stars			away	False	True	played	True	False	False		loss	False	True	False	False	7	15	
2007	2007-07-18 17:30:00	regular season	True	False	Loose Cannons			home	True	False	played	True	False	False		loss	False	True	False	False	7	18	
2007	2007-07-26 17:30:00	regular season	True	False	Inferno			home	True	False	played	True	False	False		win	True	False	False	False	18	4	
2007	2007-07-31 17:30:00	regular season	True	False	Diamondbacks			away	False	True	played	True	False	False		loss	False	True	False	False	3	8	
2007	2007-08-23 17:30:00	playoffs	False	True	Chuck Norris All-Stars	6	3	away	False	True	played	True	False	False		win	True	False	False	False	11	6	
2007	2007-08-30 17:30:00	playoffs	False	True	Loose Cannons	6	2	away	False	True	played	True	False	False		loss	False	True	False	False	15	16	
2007	2007-09-05 17:30:00	playoffs	False	True	Toxic Waste	6	5	away	False	True	played	True	False	False		loss	False	True	False	False	3	29	
2009	2009-07-14 17:30:00	regular season	True	False	Diamondbacks			away	False	True	played	True	False	False		loss	False	True	False	False	23	24	8 innings
2009	2009-07-20 17:30:00	regular season	True	False	Mixed Nutz			home	True	False	postponed	False	True	False	2009-10-06								rain
2009	2009-07-29 17:30:00	regular season	True	False	Inferno			home	True	False	played	True	False	False		win	True	False	False	False	14	13	
2009	2009-08-06 17:30:00	regular season	True	False	Chuck Norris All-Stars			away	False	True	postponed	False	True	False	2009-09-28								rain
2009	2009-08-10 17:30:00	regular season	True	False	Toxic Waste			home	True	False	played	True	False	False		win	True	False	False	False	9	7	
2009	2009-08-20 17:30:00	regular season	True	False	S.O.P.			away	False	True	played	True	False	False		win	True	False	False	False	21	9	
2009	2009-08-26 17:30:00	regular season	True	False	Loose Cannons			away	False	True	played	True	False	False		loss	False	True	False	False	3	14	
2009	2009-08-31 17:30:00	regular season	True	False	Diamondbacks			home	True	False	played	True	False	False		loss	False	True	False	False	10	18	
2009	2009-09-16 17:30:00	regular season	True	False	Mixed Nutz			away	False	True	played	True	False	False		loss	False	True	False	False	12	13	
2009	2009-09-23 17:30:00	regular season	True	False	Inferno			away	False	True	postponed	False	True	False	2009-10-13								rain
2009	2009-09-28 17:30:00	regular season	True	False	Chuck Norris All-Stars			away	False	True	played	True	False	False		loss	False	True	False	True	0	7	
2009	2009-10-06 17:30:00	regular season	True	False	Mixed Nutz			home	True	False	postponed	False	True	False	2009-10-15								rain
2009	2009-10-13 17:30:00	regular season	True	False	Inferno			away	False	True	played	True	False	False		win	True	False	False	False	17	14	
2009	2009-10-15 17:30:00	regular season	True	False	Mixed Nutz			home	True	False	postponed	False	True	False	2009-10-20								rain
2009	2009-10-20 17:30:00	regular season	True	False	Mixed Nutz			home	True	False	played	True	False	False		win	True	False	False	False	15	12	
2010	2010-06-21 17:30:00	regular season	True	False	Loose Cannons			home	True	False	played	True	False	False		loss	False	True	False	False	4	5	
2010	2010-06-29 17:30:00	regular season	True	False	Diamondbacks			away	False	True	played	True	False	False		loss	False	True	False	False	5	6	
2010	2010-07-13 17:30:00	regular season	True	False	Toxic Waste			home	True	False	played	True	False	False		win	True	False	False	False	11	7	
2010	2010-07-21 17:30:00	regular season	True	False	Chuck Norris All-Stars			away	False	True	played	True	False	False		loss	False	True	False	False	15	16	
2010	2010-07-26 17:30:00	regular season	True	False	Mixed Nutz			away	False	True	played	True	False	False		loss	False	True	False	False	8	17	
2010	2010-08-04 17:30:00	regular season	True	False	Hit Squad			home	True	False	played	True	False	False		loss	False	True	False	False	5	18	6 innings, mercy rule
2010	2010-08-18 17:30:00	regular season	True	False	Diamondbacks			home	True	False	played	True	False	False		loss	False	True	False	False	9	19	
2010	2010-08-25 17:30:00	regular season	True	False	Loose Cannons			away	False	True	played	True	False	False		loss	False	True	False	False	6	14	
2010	2010-09-09 17:30:00	playoffs	False	True	Hit Squad	7	2	away	False	True	played	True	False	False		loss	False	True	False	False	6	9	
2010	2010-09-13 17:30:00	playoffs	False	True	Chuck Norris All-Stars	7	6	away	False	True	played	True	False	False		loss	False	True	False	False	12	13	
2011	2011-05-10 17:30:00	regular season	True	False	Loose Cannons			home	True	False	played	True	False	False		loss	False	True	False	False	22	30	
2011	2011-05-18 17:30:00	regular season	True	False	Diamondbacks			away	False	True	postponed	False	True	False	2011-07-20								rain
2011	2011-05-25 17:30:00	regular season	True	False	Toxic Waste			home	True	False	played	True	False	False		win	True	False	False	False	12	10	
2011	2011-06-09 17:30:00	regular season	True	False	Chuck Norris All-Stars			away	False	True	played	True	False	False		loss	False	True	False	False	7	15	
2011	2011-06-14 17:30:00	regular season	True	False	Mixed Nutz			away	False	True	played	True	False	False		loss	False	True	False	False	6	18	
2011	2011-06-23 17:30:00	regular season	True	False	Hit Squad			home	True	False	played	True	False	False		loss	False	True	False	False	10	16	
2011	2011-07-12 17:30:00	regular season	True	False	Loose Cannons			away	False	True	postponed	False	True	False	2011-07-18								heat
2011	2011-07-18 17:30:00	regular season	True	False	Loose Cannons			away	False	True	played	True	False	False		loss	False	True	False	False	11	16	
2011	2011-07-20 17:30:00	regular season	True	False	Diamondbacks			home	True	False	postponed	False	True	False	2011-07-25								heat
2011	2011-07-20 17:30:00	regular season	True	False	Diamondbacks			home	True	False	postponed	False	True	False	2011-07-25								heat
2011	2011-07-25 17:30:00	regular season	True	False	Diamondbacks			home	True	False	played	True	False	False		win	True	False	False	True	7	0	game 1
2011	2011-07-25 17:30:00	regular season	True	False	Diamondbacks			home	True	False	played	True	False	False		win	True	False	False	True	7	0	game 2
2011	2011-07-27 17:30:00	regular season	True	False	Toxic Waste			away	False	True	played	True	False	False		loss	False	True	False	False	12	15	
2011	2011-08-04 17:30:00	regular season	True	False	Chuck Norris All-Stars			home	True	False	played	True	False	False		win	True	False	False	False	9	7	
2011	2011-08-09 17:30:00	regular season	True	False	Mixed Nutz			home	True	False	played	True	False	False		loss	False	True	False	False	6	19	
